kegg,brite_level
K09634,Enzymes [BR:ko01000]
K06113,Enzymes [BR:ko01000]
K06977,NA
K03528,Chromosome [BR:ko03036]
K03256,Transfer RNA biogenesis [BR:ko03016]
K03255,Translation factors [BR:ko03012]
K06976,NA
K13119,Spliceosome [BR:ko03041]
K02851,Enzymes [BR:ko01000]
K02856,Transporters [BR:ko02000]
K11275,Chromosome [BR:ko03036]
K14058,Transfer RNA biogenesis [BR:ko03016]
K12211,Secretion system [BR:ko02044]
K12213,Secretion system [BR:ko02044]
K12212,Secretion system [BR:ko02044]
K09950,NA
K12214,Secretion system [BR:ko02044]
K12217,Secretion system [BR:ko02044]
K12216,Secretion system [BR:ko02044]
K12218,Secretion system [BR:ko02044]
K02587,NA
K05864,Enzymes [BR:ko01000]
K09729,NA
K08696,NA
K08697,NA
K11748,Transporters [BR:ko02000]
K11746,Transporters [BR:ko02000]
K11747,Transporters [BR:ko02000]
K08698,NA
K11745,Transporters [BR:ko02000]
K11742,KEGG modules [BR:ko00002]
K11743,KEGG modules [BR:ko00002]
K11740,NA
K11741,Transporters [BR:ko02000]
K06909,NA
K08838,Enzymes [BR:ko01000]
K13926,NA
K15837,Chromosome [BR:ko03036]
K13928,Transcription factors [BR:ko03000]
K13929,Enzymes [BR:ko01000]
K12433,Lipid biosynthesis proteins [BR:ko01004]
K12432,Lipid biosynthesis proteins [BR:ko01004]
K12435,Lipid biosynthesis proteins [BR:ko01004]
K12434,Lipid biosynthesis proteins [BR:ko01004]
K12437,Lipid biosynthesis proteins [BR:ko01004]
K12436,Lipid biosynthesis proteins [BR:ko01004]
K06203,NA
K06202,NA
K09921,NA
K06200,NA
K06207,NA
K06206,NA
K06205,NA
K09924,NA
K10973,Transcription factors [BR:ko03000]
K09928,NA
K15132,Transcription machinery [BR:ko03021]
K03671,Chaperones and folding catalysts [BR:ko03110]
K06595,Bacterial motility proteins [BR:ko02035]
K03670,NA
K06599,Transcription factors [BR:ko03000]
K06951,NA
K14838,Ribosome biogenesis [BR:ko03009]
K06979,KEGG modules [BR:ko00002]
K06978,NA
K11568,Chromosome [BR:ko03036]
K03672,Enzymes [BR:ko01000]
K07978,Transcription factors [BR:ko03000]
K07979,Transcription factors [BR:ko03000]
K07976,GTP-binding proteins [BR:ko04031]
K11291,Chromosome [BR:ko03036]
K11292,Transcription machinery [BR:ko03021]
K07975,GTP-binding proteins [BR:ko04031]
K11566,Chromosome [BR:ko03036]
K11295,Chromosome [BR:ko03036]
K11296,Chromosome [BR:ko03036]
K03674,Chaperones and folding catalysts [BR:ko03110]
K07082,NA
K07083,NA
K07080,NA
K07081,NA
K07087,NA
K07084,Transporters [BR:ko02000]
K07085,NA
K00752,Enzymes [BR:ko01000]
K07088,NA
K00750,Enzymes [BR:ko01000]
K07577,NA
K10907,Enzymes [BR:ko01000]
K10906,Enzymes [BR:ko01000]
K07570,NA
K07571,NA
K07576,NA
K10902,Enzymes [BR:ko01000]
K07574,Ribosome biogenesis [BR:ko03009]
K10900,Enzymes [BR:ko01000]
K06402,Enzymes [BR:ko01000]
K09241,Transcription factors [BR:ko03000]
K07575,NA
K10908,Enzymes [BR:ko01000]
K07473,Prokaryotic defense system [BR:ko02048]
K11189,Transporters [BR:ko02000]
K09819,KEGG modules [BR:ko00002]
K09818,KEGG modules [BR:ko00002]
K06377,NA
K06376,NA
K06374,NA
K06373,NA
K07471,Transcription factors [BR:ko03000]
K06371,NA
K06370,NA
K11364,Transcription machinery [BR:ko03021]
K11365,Transcription machinery [BR:ko03021]
K11366,Enzymes [BR:ko01000]
K11367,Enzymes [BR:ko01000]
K11360,Transcription machinery [BR:ko03021]
K11361,Transcription machinery [BR:ko03021]
K11362,Transcription machinery [BR:ko03021]
K02217,Enzymes [BR:ko01000]
K10763,DNA replication proteins [BR:ko03032]
K11369,Chromosome [BR:ko03036]
K10761,Enzymes [BR:ko01000]
K15833,NA
K11166,Enzymes [BR:ko01000]
K11164,Enzymes [BR:ko01000]
K11165,Enzymes [BR:ko01000]
K11162,Enzymes [BR:ko01000]
K08607,Enzymes [BR:ko01000]
K11161,Enzymes [BR:ko01000]
K02669,Secretion system [BR:ko02044]
K07474,NA
K11168,Enzymes [BR:ko01000]
K11169,Enzymes [BR:ko01000]
K11849,Enzymes [BR:ko01000]
K00354,Enzymes [BR:ko01000]
K00351,Enzymes [BR:ko01000]
K00350,Enzymes [BR:ko01000]
K05952,NA
K05953,Enzymes [BR:ko01000]
K05956,Enzymes [BR:ko01000]
K07791,Transporters [BR:ko02000]
K07150,NA
K10340,Ubiquitin system [BR:ko04121]
K07152,Mitochondrial biogenesis [BR:ko03029]
K07153,NA
K07154,Enzymes [BR:ko01000]
K07155,Enzymes [BR:ko01000]
K07156,Transporters [BR:ko02000]
K01166,Enzymes [BR:ko01000]
K07158,NA
K07159,NA
K00683,Enzymes [BR:ko01000]
K07402,NA
K07403,NA
K07400,NA
K07401,NA
K10231,Enzymes [BR:ko01000]
K09102,Transcription factors [BR:ko03000]
K09104,Transcription factors [BR:ko03000]
K01163,NA
K06378,NA
K06875,NA
K15469,Polyketide biosynthesis proteins [BR:ko01008]
K05833,KEGG modules [BR:ko00002]
K05832,KEGG modules [BR:ko00002]
K05835,Transporters [BR:ko02000]
K03189,NA
K05837,Chromosome [BR:ko03036]
K05836,Transcription factors [BR:ko03000]
K05839,Prokaryotic defense system [BR:ko02048]
K05838,Chaperones and folding catalysts [BR:ko03110]
K02662,Secretion system [BR:ko02044]
K15531,Enzymes [BR:ko01000]
K15530,Enzymes [BR:ko01000]
K15533,Enzymes [BR:ko01000]
K15532,Enzymes [BR:ko01000]
K15535,Enzymes [BR:ko01000]
K15534,Enzymes [BR:ko01000]
K15537,Enzymes [BR:ko01000]
K15536,NA
K15539,NA
K15538,Enzymes [BR:ko01000]
K01802,Enzymes [BR:ko01000]
K03188,NA
K10512,Ubiquitin system [BR:ko04121]
K11846,Enzymes [BR:ko01000]
K10523,KEGG modules [BR:ko00002]
K11290,Chromosome [BR:ko03036]
K14096,NA
K03168,Enzymes [BR:ko01000]
K14262,Enzymes [BR:ko01000]
K14261,Enzymes [BR:ko01000]
K09549,Chaperones and folding catalysts [BR:ko03110]
K14098,NA
K04591,G protein-coupled receptors [BR:ko04030]
K12988,Enzymes [BR:ko01000]
K06878,NA
K08829,Enzymes [BR:ko01000]
K05834,Transporters [BR:ko02000]
K15629,Enzymes [BR:ko01000]
K01337,Enzymes [BR:ko01000]
K15198,Transcription machinery [BR:ko03021]
K15197,Transcription machinery [BR:ko03021]
K15196,Transcription machinery [BR:ko03021]
K15193,Transcription machinery [BR:ko03021]
K15192,Enzymes [BR:ko01000]
K15191,Transcription machinery [BR:ko03021]
K15190,Enzymes [BR:ko01000]
K15463,Enzymes [BR:ko01000]
K02681,Secretion system [BR:ko02044]
K02680,Secretion system [BR:ko02044]
K02687,Enzymes [BR:ko01000]
K14860,Ribosome biogenesis [BR:ko03009]
K14861,Ribosome biogenesis [BR:ko03009]
K14862,Ribosome biogenesis [BR:ko03009]
K14863,Ribosome biogenesis [BR:ko03009]
K14864,Enzymes [BR:ko01000]
K01795,Enzymes [BR:ko01000]
K10762,NA
K12303,Transporters [BR:ko02000]
K13665,NA
K13664,Enzymes [BR:ko01000]
K13663,Enzymes [BR:ko01000]
K13661,NA
K13660,Enzymes [BR:ko01000]
K00829,Enzymes [BR:ko01000]
K13669,Enzymes [BR:ko01000]
K13668,Enzymes [BR:ko01000]
K05127,Enzymes [BR:ko01000]
K12300,Transporters [BR:ko02000]
K05120,Enzymes [BR:ko01000]
K09327,Transcription factors [BR:ko03000]
K12306,Transporters [BR:ko02000]
K15449,Enzymes [BR:ko01000]
K05790,NA
K14668,Enzymes [BR:ko01000]
K15441,Enzymes [BR:ko01000]
K15440,Enzymes [BR:ko01000]
K15443,Transfer RNA biogenesis [BR:ko03016]
K15442,Transfer RNA biogenesis [BR:ko03016]
K15445,Enzymes [BR:ko01000]
K15444,Enzymes [BR:ko01000]
K15447,Enzymes [BR:ko01000]
K15446,Enzymes [BR:ko01000]
K02469,Enzymes [BR:ko01000]
K02468,Transcription factors [BR:ko03000]
K02467,Enzymes [BR:ko01000]
K02466,NA
K05303,Enzymes [BR:ko01000]
K01669,Enzymes [BR:ko01000]
K01462,Enzymes [BR:ko01000]
K01461,Enzymes [BR:ko01000]
K12442,Lipid biosynthesis proteins [BR:ko01004]
K09255,KEGG modules [BR:ko00002]
K15265,Enzymes [BR:ko01000]
K09257,Transcription factors [BR:ko03000]
K02860,Ribosome biogenesis [BR:ko03009]
K09250,Transcription factors [BR:ko03000]
K15264,Enzymes [BR:ko01000]
K13069,Enzymes [BR:ko01000]
K15030,Translation factors [BR:ko03012]
K02573,NA
K15267,Ribosome biogenesis [BR:ko03009]
K15031,Translation factors [BR:ko03012]
K05545,Enzymes [BR:ko01000]
K05012,Ion channels [BR:ko04040]
K02043,Transcription factors [BR:ko03000]
K05541,Enzymes [BR:ko01000]
K05016,Protein phosphatases and associated proteins [BR:ko01009]
K05543,Enzymes [BR:ko01000]
K05542,Enzymes [BR:ko01000]
K02049,KEGG modules [BR:ko00002]
K15261,Enzymes [BR:ko01000]
K05548,Transporters [BR:ko02000]
K15260,Enzymes [BR:ko01000]
K15263,Ribosome biogenesis [BR:ko03009]
K03318,Transporters [BR:ko02000]
K03319,NA
K03316,NA
K03317,NA
K03314,Transporters [BR:ko02000]
K03315,Transporters [BR:ko02000]
K03312,Transporters [BR:ko02000]
K03313,Transporters [BR:ko02000]
K03310,NA
K03311,NA
K14640,Transporters [BR:ko02000]
K05789,Lipopolysaccharide biosynthesis proteins [BR:ko01005]
K03793,Enzymes [BR:ko01000]
K03790,Enzymes [BR:ko01000]
K05788,DNA replication proteins [BR:ko03032]
K03796,NA
K03797,Enzymes [BR:ko01000]
K15269,Transporters [BR:ko02000]
K03798,KEGG modules [BR:ko00002]
K03799,KEGG modules [BR:ko00002]
K13281,Enzymes [BR:ko01000]
K13283,Transporters [BR:ko02000]
K13282,Enzymes [BR:ko01000]
K14716,Transporters [BR:ko02000]
K14717,Transporters [BR:ko02000]
K14715,Transporters [BR:ko02000]
K14712,Transporters [BR:ko02000]
K14713,Transporters [BR:ko02000]
K14711,Transporters [BR:ko02000]
K13115,Spliceosome [BR:ko03041]
K13117,KEGG modules [BR:ko00002]
K13116,Enzymes [BR:ko01000]
K13111,Spliceosome [BR:ko03041]
K13110,Spliceosome [BR:ko03041]
K14718,Transporters [BR:ko02000]
K14719,Transporters [BR:ko02000]
K12538,KEGG modules [BR:ko00002]
K12534,KEGG modules [BR:ko00002]
K12535,KEGG modules [BR:ko00002]
K08572,Enzymes [BR:ko01000]
K12537,KEGG modules [BR:ko00002]
K02315,DNA replication proteins [BR:ko03032]
K09640,Enzymes [BR:ko01000]
K09646,Enzymes [BR:ko01000]
K12283,Secretion system [BR:ko02044]
K06168,Enzymes [BR:ko01000]
K06169,Enzymes [BR:ko01000]
K03170,Enzymes [BR:ko01000]
K09488,Chaperones and folding catalysts [BR:ko03110]
K03177,Enzymes [BR:ko01000]
K10342,Ubiquitin system [BR:ko04121]
K12228,Secretion system [BR:ko02044]
K12284,Secretion system [BR:ko02044]
K13097,Enzymes [BR:ko01000]
K12226,Secretion system [BR:ko02044]
K12285,Secretion system [BR:ko02044]
K06363,Enzymes [BR:ko01000]
K12152,Enzymes [BR:ko01000]
K11758,Transcription machinery [BR:ko03021]
K12151,Prokaryotic defense system [BR:ko02048]
K11757,Transcription machinery [BR:ko03021]
K11756,Transcription machinery [BR:ko03021]
K11750,Enzymes [BR:ko01000]
K14666,KEGG modules [BR:ko00002]
K10348,Ubiquitin system [BR:ko04121]
K13936,Transporters [BR:ko02000]
K13935,Enzymes [BR:ko01000]
K13934,Enzymes [BR:ko01000]
K13933,Enzymes [BR:ko01000]
K13932,Enzymes [BR:ko01000]
K13931,NA
K13930,Enzymes [BR:ko01000]
K08828,Enzymes [BR:ko01000]
K06768,Cell adhesion molecules and their ligands [BR:ko04516]
K06764,Cell adhesion molecules and their ligands [BR:ko04516]
K00685,Enzymes [BR:ko01000]
K05886,Enzymes [BR:ko01000]
K06767,Cell adhesion molecules and their ligands [BR:ko04516]
K06761,Cell adhesion molecules and their ligands [BR:ko04516]
K06762,Cell adhesion molecules and their ligands [BR:ko04516]
K00684,Enzymes [BR:ko01000]
K11993,Enzymes [BR:ko01000]
K09791,NA
K09792,NA
K09793,NA
K11997,Ubiquitin system [BR:ko04121]
K09795,NA
K11995,Enzymes [BR:ko01000]
K11994,Enzymes [BR:ko01000]
K12080,Secretion system [BR:ko02044]
K11628,Enzymes [BR:ko01000]
K00686,Enzymes [BR:ko01000]
K06561,Cellular antigens [BR:ko04090]
K11578,Chromosome [BR:ko03036]
K06784,Cell adhesion molecules and their ligands [BR:ko04516]
K11573,Chromosome [BR:ko03036]
K11575,Chromosome [BR:ko03036]
K11574,Chromosome [BR:ko03036]
K09610,Enzymes [BR:ko01000]
K07090,NA
K07093,NA
K07092,NA
K07095,NA
K07094,Enzymes [BR:ko01000]
K07097,NA
K07096,NA
K07099,NA
K07098,NA
K07561,Enzymes [BR:ko01000]
K07560,Enzymes [BR:ko01000]
K07565,Ribosome biogenesis [BR:ko03009]
K04940,Enzymes [BR:ko01000]
K07566,Enzymes [BR:ko01000]
K07569,Ribosome biogenesis [BR:ko03009]
K07568,Enzymes [BR:ko01000]
K06308,NA
K06309,NA
K09862,NA
K06300,NA
K06301,NA
K06306,NA
K06307,NA
K06304,NA
K06305,NA
K11373,Transfer RNA biogenesis [BR:ko03016]
K11372,Chromosome [BR:ko03036]
K00916,Enzymes [BR:ko01000]
K15205,Transcription machinery [BR:ko03021]
K11563,Chromosome [BR:ko03036]
K08165,Transporters [BR:ko02000]
K10710,Enzymes [BR:ko01000]
K10711,Transcription factors [BR:ko03000]
K10716,Transporters [BR:ko02000]
K11170,Enzymes [BR:ko01000]
K11173,Enzymes [BR:ko01000]
K07890,Exosome [BR:ko04147]
K10481,Ubiquitin system [BR:ko04121]
K15782,Transcription factors [BR:ko03000]
K01926,Transcription factors [BR:ko03000]
K09373,Transcription factors [BR:ko03000]
K00327,Enzymes [BR:ko01000]
K15160,Transcription machinery [BR:ko03021]
K05946,Enzymes [BR:ko01000]
K06944,NA
K06417,NA
K06946,NA
K06415,NA
K06940,NA
K06941,Enzymes [BR:ko01000]
K06942,Ribosome biogenesis [BR:ko03009]
K06411,NA
K07147,Enzymes [BR:ko01000]
K07146,NA
K07145,Enzymes [BR:ko01000]
K10377,Cytoskeleton proteins [BR:ko04812]
K06948,Ribosome biogenesis [BR:ko03009]
K06949,Enzymes [BR:ko01000]
K10372,Cytoskeleton proteins [BR:ko04812]
K06419,NA
K10626,Enzymes [BR:ko01000]
K10627,Enzymes [BR:ko01000]
K11561,Chromosome [BR:ko03036]
K10625,Enzymes [BR:ko01000]
K09138,NA
K09139,NA
K09134,Enzymes [BR:ko01000]
K13047,Enzymes [BR:ko01000]
K09136,Ribosome biogenesis [BR:ko03009]
K09137,NA
K09131,NA
K09132,NA
K09133,NA
K10397,Cytoskeleton proteins [BR:ko04812]
K10394,Cytoskeleton proteins [BR:ko04812]
K10395,Cytoskeleton proteins [BR:ko04812]
K05808,Ribosome biogenesis [BR:ko03009]
K05809,Ribosome biogenesis [BR:ko03009]
K01811,Enzymes [BR:ko01000]
K08518,SNAREs [BR:ko04131]
K05804,KEGG modules [BR:ko00002]
K05805,NA
K05807,Transporters [BR:ko02000]
K05800,Transcription factors [BR:ko03000]
K05801,Chaperones and folding catalysts [BR:ko03110]
K05802,Transporters [BR:ko02000]
K05803,NA
K04047,Chromosome [BR:ko03036]
K04046,Chaperones and folding catalysts [BR:ko03110]
K04045,Chaperones and folding catalysts [BR:ko03110]
K04044,Chaperones and folding catalysts [BR:ko03110]
K15508,Enzymes [BR:ko01000]
K15509,Enzymes [BR:ko01000]
K15504,Protein phosphatases and associated proteins [BR:ko01009]
K15505,Enzymes [BR:ko01000]
K15507,Enzymes [BR:ko01000]
K02069,KEGG modules [BR:ko00002]
K15502,Protein phosphatases and associated proteins [BR:ko01009]
K15503,Protein phosphatases and associated proteins [BR:ko01009]
K00782,NA
K00783,Enzymes [BR:ko01000]
K00785,Enzymes [BR:ko01000]
K00786,Enzymes [BR:ko01000]
K00533,Enzymes [BR:ko01000]
K01258,Enzymes [BR:ko01000]
K11432,Chromosome [BR:ko03036]
K00532,Enzymes [BR:ko01000]
K05568,Transporters [BR:ko02000]
K01250,Enzymes [BR:ko01000]
K14271,Enzymes [BR:ko01000]
K09009,NA
K09000,Prokaryotic defense system [BR:ko02048]
K09001,Enzymes [BR:ko01000]
K09002,Prokaryotic defense system [BR:ko02048]
K09003,NA
K09004,NA
K09005,NA
K03169,Enzymes [BR:ko01000]
K05245,Transporters [BR:ko02000]
K14809,Enzymes [BR:ko01000]
K05563,Transporters [BR:ko02000]
K00534,Enzymes [BR:ko01000]
K08234,NA
K08235,Enzymes [BR:ko01000]
K08237,Enzymes [BR:ko01000]
K08823,Enzymes [BR:ko01000]
K05561,Transporters [BR:ko02000]
K00256,Enzymes [BR:ko01000]
K02679,Secretion system [BR:ko02044]
K02674,Secretion system [BR:ko02044]
K02672,Secretion system [BR:ko02044]
K02673,Secretion system [BR:ko02044]
K02670,Secretion system [BR:ko02044]
K02671,Secretion system [BR:ko02044]
K13612,Lipid biosynthesis proteins [BR:ko01004]
K13613,Lipid biosynthesis proteins [BR:ko01004]
K13611,Lipid biosynthesis proteins [BR:ko01004]
K13616,Enzymes [BR:ko01000]
K09311,Transcription factors [BR:ko03000]
K13614,Lipid biosynthesis proteins [BR:ko01004]
K09313,Transcription factors [BR:ko03000]
K02531,Transcription factors [BR:ko03000]
K02530,Transcription factors [BR:ko03000]
K08304,NA
K08305,NA
K08306,NA
K08307,NA
K08301,Enzymes [BR:ko01000]
K02532,Transporters [BR:ko02000]
K08308,NA
K08309,Enzymes [BR:ko01000]
K15276,Transporters [BR:ko02000]
K05795,NA
K05796,NA
K15275,Transporters [BR:ko02000]
K15272,Transporters [BR:ko02000]
K05791,NA
K15270,Transporters [BR:ko02000]
K15271,Enzymes [BR:ko01000]
K15206,Transcription machinery [BR:ko03021]
K05798,Transcription factors [BR:ko03000]
K14670,Polyketide biosynthesis proteins [BR:ko01008]
K15278,Transporters [BR:ko02000]
K15279,Transporters [BR:ko02000]
K01671,Enzymes [BR:ko01000]
K05372,Transcription factors [BR:ko03000]
K05373,Transporters [BR:ko02000]
K11063,Bacterial toxins [BR:ko02042]
K04908,Ion channels [BR:ko04040]
K05374,Polyketide biosynthesis proteins [BR:ko01008]
K02415,Bacterial motility proteins [BR:ko02035]
K09263,Transcription factors [BR:ko03000]
K13058,Enzymes [BR:ko01000]
K13059,Enzymes [BR:ko01000]
K13726,Enzymes [BR:ko01000]
K13727,Enzymes [BR:ko01000]
K13724,Enzymes [BR:ko01000]
K13050,Enzymes [BR:ko01000]
K13051,Enzymes [BR:ko01000]
K13052,Chromosome [BR:ko03036]
K13053,Chromosome [BR:ko03036]
K05570,Transporters [BR:ko02000]
K07356,Bacterial motility proteins [BR:ko02035]
K01616,Enzymes [BR:ko01000]
K02078,NA
K07357,NA
K02074,KEGG modules [BR:ko00002]
K02075,KEGG modules [BR:ko00002]
K02076,Transcription factors [BR:ko03000]
K02077,KEGG modules [BR:ko00002]
K02526,Transporters [BR:ko02000]
K02255,NA
K07355,Bacterial motility proteins [BR:ko02035]
K02250,Secretion system [BR:ko02044]
K02251,Secretion system [BR:ko02044]
K02520,Translation factors [BR:ko03012]
K02521,Transcription factors [BR:ko03000]
K03305,NA
K03304,Transporters [BR:ko02000]
K03307,NA
K14691,Transporters [BR:ko02000]
K03300,NA
K02528,Enzymes [BR:ko01000]
K02529,Transcription factors [BR:ko03000]
K13672,Enzymes [BR:ko01000]
K02099,Transcription factors [BR:ko03000]
K12053,Secretion system [BR:ko02044]
K03789,Enzymes [BR:ko01000]
K08833,Enzymes [BR:ko01000]
K11713,Enzymes [BR:ko01000]
K14705,Transporters [BR:ko02000]
K14707,Transporters [BR:ko02000]
K14701,Transporters [BR:ko02000]
K14700,Transporters [BR:ko02000]
K14703,Transporters [BR:ko02000]
K13120,Spliceosome [BR:ko03041]
K06831,Exosome [BR:ko04147]
K13122,Spliceosome [BR:ko03041]
K02281,Secretion system [BR:ko02044]
K13124,Spliceosome [BR:ko03041]
K13125,Spliceosome [BR:ko03041]
K13127,Spliceosome [BR:ko03041]
K01245,Enzymes [BR:ko01000]
K03835,Transporters [BR:ko02000]
K09651,Enzymes [BR:ko01000]
K06221,Enzymes [BR:ko01000]
K05996,Enzymes [BR:ko01000]
K03834,Transporters [BR:ko02000]
K06175,Enzymes [BR:ko01000]
K06174,Ribosome biogenesis [BR:ko03009]
K06177,Enzymes [BR:ko01000]
K06189,Transporters [BR:ko02000]
K06179,Enzymes [BR:ko01000]
K06178,Enzymes [BR:ko01000]
K03232,Translation factors [BR:ko03012]
K03235,Translation factors [BR:ko03012]
K03832,Transporters [BR:ko02000]
K09493,Chaperones and folding catalysts [BR:ko03110]
K09491,Chaperones and folding catalysts [BR:ko03110]
K12058,Secretion system [BR:ko02044]
K09497,Chaperones and folding catalysts [BR:ko03110]
K09496,Chaperones and folding catalysts [BR:ko03110]
K09495,Chaperones and folding catalysts [BR:ko03110]
K09494,Chaperones and folding catalysts [BR:ko03110]
K09499,Chaperones and folding catalysts [BR:ko03110]
K09498,Chaperones and folding catalysts [BR:ko03110]
K05997,NA
K06923,NA
K12899,Spliceosome [BR:ko03041]
K12898,Spliceosome [BR:ko03041]
K12232,Enzymes [BR:ko01000]
K12895,Spliceosome [BR:ko03041]
K12236,Transcription factors [BR:ko03000]
K11768,Transcription machinery [BR:ko03021]
K11769,Transcription machinery [BR:ko03021]
K12147,NA
K12146,Transcription factors [BR:ko03000]
K12417,Enzymes [BR:ko01000]
K12140,Enzymes [BR:ko01000]
K15660,Polyketide biosynthesis proteins [BR:ko01008]
K07995,Enzymes [BR:ko01000]
K11760,Transcription machinery [BR:ko03021]
K11761,Transcription machinery [BR:ko03021]
K11762,Transcription machinery [BR:ko03021]
K11764,Transcription machinery [BR:ko03021]
K12148,Prokaryotic defense system [BR:ko02048]
K11766,Transcription machinery [BR:ko03021]
K11767,Transcription machinery [BR:ko03021]
K07312,Transporters [BR:ko02000]
K07313,Enzymes [BR:ko01000]
K07311,Transporters [BR:ko02000]
K07316,Enzymes [BR:ko01000]
K03478,Enzymes [BR:ko01000]
K07314,Enzymes [BR:ko01000]
K07315,Enzymes [BR:ko01000]
K08716,Transporters [BR:ko02000]
K08837,Enzymes [BR:ko01000]
K07318,Enzymes [BR:ko01000]
K07319,Enzymes [BR:ko01000]
K08832,Enzymes [BR:ko01000]
K13947,Transporters [BR:ko02000]
K08830,Enzymes [BR:ko01000]
K08831,Enzymes [BR:ko01000]
K06778,Enzymes [BR:ko01000]
K10448,Ubiquitin system [BR:ko04121]
K10997,Chromosome [BR:ko03036]
K06777,Enzymes [BR:ko01000]
K13782,Transporters [BR:ko02000]
K06953,NA
K06774,Cell adhesion molecules and their ligands [BR:ko04516]
K00961,Enzymes [BR:ko01000]
K12523,Secretion system [BR:ko02044]
K12522,Secretion system [BR:ko02044]
K12521,Secretion system [BR:ko02044]
K12520,Secretion system [BR:ko02044]
K09787,NA
K09786,NA
K11610,Enzymes [BR:ko01000]
K10444,Ubiquitin system [BR:ko04121]
K09781,NA
K09780,NA
K06795,Cell adhesion molecules and their ligands [BR:ko04516]
K06794,Cell adhesion molecules and their ligands [BR:ko04516]
K10445,Ubiquitin system [BR:ko04121]
K06792,Cell adhesion molecules and their ligands [BR:ko04516]
K07141,Enzymes [BR:ko01000]
K06913,NA
K02837,Translation factors [BR:ko03012]
K06798,Cell adhesion molecules and their ligands [BR:ko04516]
K10443,Ubiquitin system [BR:ko04121]
K09942,NA
K11310,Enzymes [BR:ko01000]
K05880,Transcription factors [BR:ko03000]
K08782,Enzymes [BR:ko01000]
K08783,Enzymes [BR:ko01000]
K08784,Enzymes [BR:ko01000]
K08785,Enzymes [BR:ko01000]
K08786,Enzymes [BR:ko01000]
K08787,Enzymes [BR:ko01000]
K10961,Secretion system [BR:ko02044]
K04954,Ion channels [BR:ko04040]
K10965,Secretion system [BR:ko02044]
K07559,Enzymes [BR:ko01000]
K07228,NA
K07229,Enzymes [BR:ko01000]
K07226,NA
K07227,NA
K07556,Mitochondrial biogenesis [BR:ko03029]
K07225,NA
K07222,NA
K07223,NA
K07220,NA
K03675,Chaperones and folding catalysts [BR:ko03110]
K06318,NA
K09871,Transporters [BR:ko02000]
K06310,NA
K09873,Transporters [BR:ko02000]
K06312,NA
K09874,Transporters [BR:ko02000]
K06317,NA
K06316,Transporters [BR:ko02000]
K10709,NA
K08193,Transporters [BR:ko02000]
K05739,NA
K11380,Chromosome [BR:ko03036]
K14340,Enzymes [BR:ko01000]
K05985,Enzymes [BR:ko01000]
K03755,Transcription factors [BR:ko03000]
K11144,DNA replication proteins [BR:ko03032]
K11145,Enzymes [BR:ko01000]
K05972,Enzymes [BR:ko01000]
K05984,Enzymes [BR:ko01000]
K14614,Transporters [BR:ko02000]
K10706,Enzymes [BR:ko01000]
K08657,Enzymes [BR:ko01000]
K08654,Enzymes [BR:ko01000]
K08655,Enzymes [BR:ko01000]
K08652,Enzymes [BR:ko01000]
K08651,Enzymes [BR:ko01000]
K14776,Enzymes [BR:ko01000]
K11134,DNA replication proteins [BR:ko03032]
K06405,NA
K06404,NA
K07138,NA
K07139,NA
K06401,NA
K06400,NA
K11810,Transporters [BR:ko02000]
K11811,NA
K07132,NA
K07133,NA
K06959,NA
K07131,NA
K11548,Chromosome [BR:ko03036]
K07137,NA
K07134,NA
K07427,Cytochrome P450 [BR:ko00199]
K07451,Enzymes [BR:ko01000]
K10637,Enzymes [BR:ko01000]
K09128,NA
K10631,Enzymes [BR:ko01000]
K00540,Enzymes [BR:ko01000]
K07450,NA
K09123,NA
K09122,NA
K09121,NA
K14777,Enzymes [BR:ko01000]
K10639,Enzymes [BR:ko01000]
K09126,NA
K09125,NA
K09124,NA
K10385,Cytoskeleton proteins [BR:ko04812]
K10384,Cytoskeleton proteins [BR:ko04812]
K05819,Transporters [BR:ko02000]
K15288,Transporters [BR:ko02000]
K10383,Cytoskeleton proteins [BR:ko04812]
K01865,Enzymes [BR:ko01000]
K15283,Transporters [BR:ko02000]
K05812,NA
K05811,NA
K05810,NA
K10389,Chromosome [BR:ko03036]
K10388,Cytoskeleton proteins [BR:ko04812]
K15285,Transporters [BR:ko02000]
K04033,Transcription factors [BR:ko03000]
K04030,NA
K04031,NA
K15048,Enzymes [BR:ko01000]
K09706,NA
K15513,Enzymes [BR:ko01000]
K15511,Enzymes [BR:ko01000]
K15510,Enzymes [BR:ko01000]
K15515,Enzymes [BR:ko01000]
K15514,Enzymes [BR:ko01000]
K07047,NA
K07045,NA
K07042,Ribosome biogenesis [BR:ko03009]
K07043,NA
K07040,NA
K07041,NA
K01234,Enzymes [BR:ko01000]
K07048,NA
K06149,NA
K09017,Transcription factors [BR:ko03000]
K09016,Transporters [BR:ko02000]
K09015,NA
K09014,NA
K09013,Transporters [BR:ko02000]
K09012,Transcription factors [BR:ko03000]
K14771,Ribosome biogenesis [BR:ko03009]
K01260,Enzymes [BR:ko01000]
K01261,Enzymes [BR:ko01000]
K01262,Enzymes [BR:ko01000]
K01263,Enzymes [BR:ko01000]
K01264,Enzymes [BR:ko01000]
K01147,Enzymes [BR:ko01000]
K01266,Enzymes [BR:ko01000]
K01267,Enzymes [BR:ko01000]
K08227,Transporters [BR:ko02000]
K08226,Transporters [BR:ko02000]
K08225,Transporters [BR:ko02000]
