kegg,level_1,level_2
K05103,Environmental Information Processing,Signal transduction
K06980,NA,NA
K06981,Metabolism,Metabolism of terpenoids and polyketides
K06982,Metabolism,Metabolism of cofactors and vitamins
K02734,Genetic Information Processing,"Folding, sorting and degradation"
K06984,NA,NA
K06985,Cellular Processes,Cell growth and death
K06986,NA,NA
K06987,NA,NA
K02445,NA,NA
K03039,Genetic Information Processing,"Folding, sorting and degradation"
K02444,NA,NA
K03038,Genetic Information Processing,"Folding, sorting and degradation"
K00582,Metabolism,Overview
K00583,Metabolism,Overview
K00580,Metabolism,Overview
K02110,Metabolism,Energy metabolism
K00586,NA,NA
K00587,Metabolism,Metabolism of terpenoids and polyketides
K00584,Metabolism,Overview
K01837,Metabolism,Carbohydrate metabolism
K02117,Metabolism,Energy metabolism
K00588,Metabolism,Amino acid metabolism
K00589,Metabolism,Metabolism of cofactors and vitamins
K02440,NA,NA
K00018,Metabolism,Overview
K02115,Metabolism,Energy metabolism
K00019,Metabolism,Carbohydrate metabolism
K02114,Metabolism,Energy metabolism
K03032,Genetic Information Processing,"Folding, sorting and degradation"
K03030,Genetic Information Processing,"Folding, sorting and degradation"
K10260,Genetic Information Processing,"Folding, sorting and degradation"
K10268,NA,NA
K06602,NA,NA
K06892,NA,NA
K10738,NA,NA
K10739,Genetic Information Processing,Replication and repair
K01989,NA,NA
K01988,Metabolism,Glycan biosynthesis and metabolism
K00854,Metabolism,Carbohydrate metabolism
K00855,Metabolism,Overview
K00856,Metabolism,Nucleotide metabolism
K00857,Metabolism,Nucleotide metabolism
K00850,Metabolism,Overview
K00851,Metabolism,Overview
K00852,Metabolism,Carbohydrate metabolism
K00853,Metabolism,Carbohydrate metabolism
K00858,Metabolism,Metabolism of cofactors and vitamins
K00859,Metabolism,Metabolism of cofactors and vitamins
K06608,NA,NA
K04353,Environmental Information Processing,Signal transduction
K01180,NA,NA
K04351,Environmental Information Processing,Signal transduction
K01182,Metabolism,Carbohydrate metabolism
K01185,NA,NA
K01184,Metabolism,Carbohydrate metabolism
K01187,Metabolism,Carbohydrate metabolism
K01186,Metabolism,Lipid metabolism
K01189,Metabolism,Carbohydrate metabolism
K01188,Metabolism,Carbohydrate metabolism
K15728,Metabolism,Lipid metabolism
K15238,Metabolism,Xenobiotics biodegradation and metabolism
K15232,Metabolism,Overview
K15721,NA,NA
K15722,NA,NA
K15723,NA,NA
K15724,NA,NA
K15237,Metabolism,Xenobiotics biodegradation and metabolism
K15726,NA,NA
K15727,NA,NA
K13762,Metabolism,Nucleotide metabolism
K13763,Metabolism,Nucleotide metabolism
K13761,Metabolism,Nucleotide metabolism
K13766,Metabolism,Amino acid metabolism
K13767,Metabolism,Overview
K13764,Organismal Systems,Sensory system
K13002,NA,NA
K02984,Genetic Information Processing,Translation
K02985,Genetic Information Processing,Translation
K02986,Genetic Information Processing,Translation
K08295,Metabolism,Xenobiotics biodegradation and metabolism
K02636,Metabolism,Energy metabolism
K08293,NA,NA
K02982,Genetic Information Processing,Translation
K08291,Cellular Processes,Transport and catabolism
K02638,Metabolism,Energy metabolism
K02639,Metabolism,Energy metabolism
K02988,Genetic Information Processing,Translation
K02989,Genetic Information Processing,Translation
K08298,NA,NA
K08299,NA,NA
K03583,Genetic Information Processing,Replication and repair
K03582,Genetic Information Processing,Replication and repair
K03581,Genetic Information Processing,Replication and repair
K03580,NA,NA
K03587,Metabolism,Glycan biosynthesis and metabolism
K03586,NA,NA
K03585,Human Diseases,Drug resistance
K03584,Genetic Information Processing,Replication and repair
K03589,Cellular Processes,Cell growth and death
K03588,Cellular Processes,Cell growth and death
K01725,Metabolism,Energy metabolism
K01724,NA,NA
K01727,NA,NA
K01721,Metabolism,Amino acid metabolism
K03862,Metabolism,Xenobiotics biodegradation and metabolism
K03863,Metabolism,Xenobiotics biodegradation and metabolism
K01729,Metabolism,Carbohydrate metabolism
K01728,Metabolism,Carbohydrate metabolism
K09530,Genetic Information Processing,"Folding, sorting and degradation"
K09531,NA,NA
K09533,NA,NA
K09534,NA,NA
K09536,NA,NA
K14061,NA,NA
K09538,NA,NA
K09539,NA,NA
K08120,NA,NA
K05401,Organismal Systems,Immune system
K08122,Human Diseases,Cancers
K08123,NA,NA
K05404,Organismal Systems,Immune system
K02189,Metabolism,Metabolism of cofactors and vitamins
K08126,NA,NA
K02184,Organismal Systems,Development
K05409,Environmental Information Processing,Signal transduction
K02182,NA,NA
K02183,Environmental Information Processing,Signal transduction
K13186,NA,NA
K13184,NA,NA
K13185,NA,NA
K13183,NA,NA
K03769,NA,NA
K03768,NA,NA
K03767,Human Diseases,Drug resistance
K03766,Metabolism,Glycan biosynthesis and metabolism
K03765,NA,NA
K03764,NA,NA
K03763,Metabolism,Nucleotide metabolism
K04799,Genetic Information Processing,Replication and repair
K03761,NA,NA
K03760,Human Diseases,Drug resistance
K09457,Metabolism,Metabolism of cofactors and vitamins
K09456,NA,NA
K09455,Organismal Systems,Endocrine system
K09454,NA,NA
K09453,NA,NA
K09459,Metabolism,Metabolism of other amino acids
K09458,Metabolism,Overview
K00602,Metabolism,Nucleotide metabolism
K13988,Metabolism,Nucleotide metabolism
K13989,Genetic Information Processing,"Folding, sorting and degradation"
K13987,Metabolism,Nucleotide metabolism
K13984,Genetic Information Processing,"Folding, sorting and degradation"
K13985,Organismal Systems,Nervous system
K13982,NA,NA
K13983,NA,NA
K13980,Metabolism,Carbohydrate metabolism
K13981,NA,NA
K09981,NA,NA
K09980,NA,NA
K09982,NA,NA
K09985,NA,NA
K09987,NA,NA
K09989,NA,NA
K09988,NA,NA
K12585,Genetic Information Processing,"Folding, sorting and degradation"
K12584,Genetic Information Processing,"Folding, sorting and degradation"
K12586,Genetic Information Processing,"Folding, sorting and degradation"
K12581,Genetic Information Processing,"Folding, sorting and degradation"
K12580,Genetic Information Processing,"Folding, sorting and degradation"
K12583,NA,NA
K12582,NA,NA
K12589,Genetic Information Processing,"Folding, sorting and degradation"
K04910,NA,NA
K04916,Organismal Systems,Digestive system
K11728,NA,NA
K11729,NA,NA
K11724,NA,NA
K11725,Metabolism,Energy metabolism
K11727,NA,NA
K11720,Environmental Information Processing,Membrane transport
K11721,NA,NA
K11722,NA,NA
K09759,Genetic Information Processing,Translation
K06468,Organismal Systems,Immune system
K10459,NA,NA
K10458,NA,NA
K10455,NA,NA
K10986,Metabolism,Carbohydrate metabolism
K10985,Metabolism,Carbohydrate metabolism
K10984,Metabolism,Carbohydrate metabolism
K10451,NA,NA
K10450,NA,NA
K10981,Genetic Information Processing,Replication and repair
K10452,NA,NA
K12146,NA,NA
K07468,NA,NA
K07469,NA,NA
K07464,NA,NA
K07465,NA,NA
K07466,Genetic Information Processing,Replication and repair
K07467,NA,NA
K07460,NA,NA
K07461,NA,NA
K07462,Genetic Information Processing,Replication and repair
K07463,NA,NA
K11589,NA,NA
K11858,NA,NA
K11852,NA,NA
K11853,NA,NA
K11582,Cellular Processes,Cell growth and death
K11583,Genetic Information Processing,Translation
K11584,Genetic Information Processing,Translation
K11857,NA,NA
K11854,NA,NA
K11855,NA,NA
K10679,Metabolism,Xenobiotics biodegradation and metabolism
K10678,Metabolism,Xenobiotics biodegradation and metabolism
K10670,NA,NA
K10673,NA,NA
K10675,Metabolism,Metabolism of other amino acids
K10674,Metabolism,Amino acid metabolism
K10677,NA,NA
K15001,NA,NA
K15003,NA,NA
K15009,Organismal Systems,Nervous system
K08726,Metabolism,Lipid metabolism
K08724,Metabolism,Glycan biosynthesis and metabolism
K08722,Metabolism,Nucleotide metabolism
K08723,Metabolism,Nucleotide metabolism
K08720,Human Diseases,Infectious diseases
K08721,NA,NA
K08728,Metabolism,Nucleotide metabolism
K08465,NA,NA
K08466,NA,NA
K08461,NA,NA
K08462,NA,NA
K00118,NA,NA
K00449,Metabolism,Overview
K00448,Metabolism,Overview
K00446,Metabolism,Overview
K00117,Metabolism,Carbohydrate metabolism
K00116,Metabolism,Overview
K00443,Metabolism,Energy metabolism
K00442,Metabolism,Energy metabolism
K10189,Environmental Information Processing,Membrane transport
K00112,Metabolism,Lipid metabolism
K01539,Environmental Information Processing,Signal transduction
K04728,Environmental Information Processing,Signal transduction
K04729,Environmental Information Processing,Signal transduction
K01530,NA,NA
K01531,NA,NA
K04720,Metabolism,Metabolism of cofactors and vitamins
K01533,NA,NA
K01534,NA,NA
K01535,Metabolism,Energy metabolism
K01536,NA,NA
K01537,NA,NA
K14358,NA,NA
K14606,Metabolism,Metabolism of terpenoids and polyketides
K14607,NA,NA
K14352,NA,NA
K14350,NA,NA
K14351,NA,NA
K00413,Metabolism,Energy metabolism
K03972,NA,NA
K03973,NA,NA
K03970,NA,NA
K03971,NA,NA
K03976,NA,NA
K03977,NA,NA
K03974,NA,NA
K03975,NA,NA
K03978,NA,NA
K03979,NA,NA
K13378,Metabolism,Energy metabolism
K13370,Metabolism,Lipid metabolism
K02372,Metabolism,Overview
K02371,Metabolism,Overview
K02377,Metabolism,Carbohydrate metabolism
K02375,Environmental Information Processing,Signal transduction
K12350,Metabolism,Lipid metabolism
K12351,Metabolism,Lipid metabolism
K02379,NA,NA
K12354,Metabolism,Lipid metabolism
K12355,Metabolism,Biosynthesis of other secondary metabolites
K12357,Metabolism,Lipid metabolism
K13519,Metabolism,Lipid metabolism
K13511,Metabolism,Lipid metabolism
K13513,Metabolism,Lipid metabolism
K03394,Metabolism,Metabolism of cofactors and vitamins
K03395,NA,NA
K03392,Metabolism,Amino acid metabolism
K03390,Metabolism,Overview
K03391,Metabolism,Xenobiotics biodegradation and metabolism
K03399,Metabolism,Metabolism of cofactors and vitamins
K03020,Metabolism,Nucleotide metabolism
K03021,Metabolism,Nucleotide metabolism
K03022,Metabolism,Nucleotide metabolism
K03023,Metabolism,Nucleotide metabolism
K03024,Metabolism,Nucleotide metabolism
K03025,Metabolism,Nucleotide metabolism
K03027,Metabolism,Nucleotide metabolism
K03028,Genetic Information Processing,"Folding, sorting and degradation"
K03029,Genetic Information Processing,"Folding, sorting and degradation"
K06233,Environmental Information Processing,Signal transduction
K12136,NA,NA
K12137,NA,NA
K06610,NA,NA
K06611,Metabolism,Carbohydrate metabolism
K12138,NA,NA
K12139,NA,NA
K06616,NA,NA
K06617,Metabolism,Carbohydrate metabolism
K11444,Environmental Information Processing,Signal transduction
K11447,Human Diseases,Cancers
K11446,NA,NA
K11117,NA,NA
K11440,Metabolism,Amino acid metabolism
K11443,Environmental Information Processing,Signal transduction
K11442,NA,NA
K11119,NA,NA
K11118,NA,NA
K11449,Human Diseases,Cancers
K00612,NA,NA
K00613,Metabolism,Amino acid metabolism
K00610,Metabolism,Nucleotide metabolism
K00611,Metabolism,Overview
K00616,Metabolism,Overview
K00615,Metabolism,Overview
K00619,Metabolism,Overview
K06474,Environmental Information Processing,Signaling molecules and interaction
K06476,Environmental Information Processing,Signal transduction
K06477,Environmental Information Processing,Signaling molecules and interaction
K10868,Genetic Information Processing,Replication and repair
K10869,Genetic Information Processing,Replication and repair
K10864,NA,NA
K10865,Genetic Information Processing,Replication and repair
K10866,Genetic Information Processing,Replication and repair
K10867,Genetic Information Processing,Replication and repair
K06478,Environmental Information Processing,Signaling molecules and interaction
K10862,NA,NA
K10863,NA,NA
K04660,Environmental Information Processing,Signal transduction
K01053,Metabolism,Overview
K01052,Metabolism,Lipid metabolism
K05518,NA,NA
K07877,Environmental Information Processing,Signal transduction
K07875,Human Diseases,Infectious diseases
K07874,Human Diseases,Infectious diseases
K07871,NA,NA
K07870,Cellular Processes,Cell growth and death
K07878,NA,NA
K04575,Human Diseases,Neurodegenerative diseases
K04574,Human Diseases,Neurodegenerative diseases
K10240,Environmental Information Processing,Membrane transport
K10241,Environmental Information Processing,Membrane transport
K10242,Environmental Information Processing,Membrane transport
K10245,Metabolism,Overview
K10246,Metabolism,Overview
K14818,NA,NA
K04110,Metabolism,Xenobiotics biodegradation and metabolism
K04113,Metabolism,Overview
K04112,Metabolism,Overview
K04115,Metabolism,Overview
K04114,Metabolism,Overview
K04117,Metabolism,Xenobiotics biodegradation and metabolism
K04116,Metabolism,Xenobiotics biodegradation and metabolism
K08076,NA,NA
K08077,NA,NA
K07705,Environmental Information Processing,Signal transduction
K07704,Environmental Information Processing,Signal transduction
K07707,Environmental Information Processing,Signal transduction
K07706,Environmental Information Processing,Signal transduction
K07701,Environmental Information Processing,Signal transduction
K07700,Environmental Information Processing,Signal transduction
K07703,Environmental Information Processing,Signal transduction
K07702,Environmental Information Processing,Signal transduction
K08075,NA,NA
K07709,Environmental Information Processing,Signal transduction
K07708,Environmental Information Processing,Signal transduction
K04127,Metabolism,Biosynthesis of other secondary metabolites
K15742,Metabolism,Overview
K15743,NA,NA
K15216,NA,NA
K15741,Metabolism,Overview
K15746,Metabolism,Metabolism of terpenoids and polyketides
K15212,NA,NA
K15745,Metabolism,Metabolism of terpenoids and polyketides
K15749,Metabolism,Overview
K15218,NA,NA
K15219,NA,NA
K06214,NA,NA
K09935,NA,NA
K09936,NA,NA
K09937,NA,NA
K13748,Metabolism,Glycan biosynthesis and metabolism
K13749,Organismal Systems,Sensory system
K13744,Human Diseases,Infectious diseases
K13745,Metabolism,Amino acid metabolism
K13746,Metabolism,Amino acid metabolism
K13747,Metabolism,Amino acid metabolism
K09931,NA,NA
K09932,NA,NA
K06213,NA,NA
K02618,Metabolism,Amino acid metabolism
K02619,Metabolism,Metabolism of cofactors and vitamins
K02968,Genetic Information Processing,Translation
K05649,Environmental Information Processing,Membrane transport
K02966,Genetic Information Processing,Translation
K02615,Metabolism,Amino acid metabolism
K05644,Environmental Information Processing,Membrane transport
K02617,NA,NA
K02962,Genetic Information Processing,Translation
K02611,Metabolism,Amino acid metabolism
K02612,Metabolism,Amino acid metabolism
K02613,Metabolism,Amino acid metabolism
K07610,Human Diseases,Cardiovascular diseases
K03569,NA,NA
K03568,NA,NA
K03565,NA,NA
K03564,NA,NA
K03567,NA,NA
K03566,NA,NA
K03561,NA,NA
K03560,NA,NA
K03563,Environmental Information Processing,Signal transduction
K03562,NA,NA
K01709,Metabolism,Carbohydrate metabolism
K01708,Metabolism,Carbohydrate metabolism
K01707,Metabolism,Carbohydrate metabolism
K01706,Metabolism,Carbohydrate metabolism
K01705,Metabolism,Overview
K01704,Metabolism,Overview
K01703,Metabolism,Overview
K01702,Metabolism,Overview
K09552,NA,NA
K09553,Human Diseases,Neurodegenerative diseases
K13046,NA,NA
K09554,Environmental Information Processing,Signal transduction
K09555,Genetic Information Processing,"Folding, sorting and degradation"
K05398,Organismal Systems,Immune system
K14164,Genetic Information Processing,Translation
K08148,NA,NA
K08149,NA,NA
K14161,NA,NA
K14160,NA,NA
K14163,Metabolism,Metabolism of cofactors and vitamins
K14162,NA,NA
K08142,NA,NA
K05391,Organismal Systems,Environmental adaptation
K08141,NA,NA
K05394,Metabolism,Xenobiotics biodegradation and metabolism
K14168,Genetic Information Processing,"Folding, sorting and degradation"
K05396,Metabolism,Amino acid metabolism
K08145,NA,NA
K03709,NA,NA
K03708,NA,NA
K13143,NA,NA
K03701,Genetic Information Processing,Replication and repair
K03700,NA,NA
K03703,Genetic Information Processing,Replication and repair
K03702,Genetic Information Processing,Replication and repair
K03705,NA,NA
K03704,NA,NA
K03707,Metabolism,Metabolism of cofactors and vitamins
K03706,NA,NA
K13417,Organismal Systems,Environmental adaptation
K09434,NA,NA
K09436,Human Diseases,Cancers
K12838,Genetic Information Processing,Transcription
K12835,Genetic Information Processing,Transcription
K12834,Genetic Information Processing,Transcription
K12837,Genetic Information Processing,Transcription
K12836,Genetic Information Processing,Transcription
K12831,Genetic Information Processing,Transcription
K12830,Genetic Information Processing,Transcription
K12833,Genetic Information Processing,Transcription
K06289,NA,NA
K06288,NA,NA
K06283,NA,NA
K06282,Metabolism,Xenobiotics biodegradation and metabolism
K06281,Metabolism,Xenobiotics biodegradation and metabolism
K06287,NA,NA
K06286,NA,NA
K06285,NA,NA
K06284,NA,NA
K07138,NA,NA
K04933,NA,NA
K04931,NA,NA
K04930,Organismal Systems,Nervous system
K04936,Environmental Information Processing,Signal transduction
K04935,NA,NA
K04934,NA,NA
K07139,NA,NA
K06344,NA,NA
K02565,NA,NA
K06867,NA,NA
K06866,NA,NA
K06865,NA,NA
K06864,NA,NA
K06863,Metabolism,Nucleotide metabolism
K06862,NA,NA
K06861,Environmental Information Processing,Membrane transport
K06860,NA,NA
K12659,Metabolism,Overview
K12658,Metabolism,Amino acid metabolism
K12651,Organismal Systems,Immune system
K12650,Organismal Systems,Immune system
K12657,Metabolism,Overview
K11874,NA,NA
K11870,NA,NA
K11871,NA,NA
K11872,NA,NA
K11873,NA,NA
K11879,NA,NA
K15029,NA,NA
K06091,Environmental Information Processing,Signal transduction
K15023,Metabolism,Overview
K15022,Metabolism,Overview
K15020,Metabolism,Overview
K15027,NA,NA
K15026,NA,NA
K15024,Metabolism,Overview
K08700,NA,NA
K08706,NA,NA
K08147,NA,NA
K09679,NA,NA
K10476,NA,NA
K06158,NA,NA
K10473,NA,NA
K10471,NA,NA
K08144,NA,NA
K11306,NA,NA
K11307,NA,NA
K11304,Human Diseases,Infectious diseases
K11305,Cellular Processes,Cellular commiunity
K11303,Human Diseases,Substance dependence
K11308,NA,NA
K00137,Metabolism,Amino acid metabolism
K00135,Metabolism,Carbohydrate metabolism
K00134,Metabolism,Overview
K00133,Metabolism,Overview
K00132,Metabolism,Carbohydrate metabolism
K00131,Metabolism,Overview
K00130,Metabolism,Amino acid metabolism
K00139,Metabolism,Carbohydrate metabolism
K00138,Metabolism,Carbohydrate metabolism
K00428,NA,NA
K00420,Metabolism,Energy metabolism
K00423,Metabolism,Carbohydrate metabolism
K00422,Metabolism,Amino acid metabolism
K00425,Metabolism,Energy metabolism
K00427,NA,NA
K00426,Metabolism,Energy metabolism
K14292,Genetic Information Processing,Translation
K15687,NA,NA
K15681,Metabolism,Metabolism of terpenoids and polyketides
K15680,Metabolism,Lipid metabolism
K14379,Cellular Processes,Transport and catabolism
K07136,NA,NA
K14371,Metabolism,Metabolism of terpenoids and polyketides
K14372,Metabolism,Metabolism of terpenoids and polyketides
K14373,Metabolism,Metabolism of terpenoids and polyketides
K14374,Metabolism,Metabolism of terpenoids and polyketides
K14375,Metabolism,Metabolism of terpenoids and polyketides
K14376,Genetic Information Processing,Translation
K09845,Metabolism,Metabolism of terpenoids and polyketides
K14082,Metabolism,Overview
K14083,Metabolism,Overview
K14080,Metabolism,Overview
K14081,Metabolism,Overview
K14086,NA,NA
K14087,NA,NA
K14084,Metabolism,Overview
K14085,Metabolism,Overview
K14088,NA,NA
K14089,NA,NA
K04257,Organismal Systems,Sensory system
K04706,Genetic Information Processing,"Folding, sorting and degradation"
K01551,NA,NA
K01556,Metabolism,Amino acid metabolism
K01557,Metabolism,Amino acid metabolism
K01555,Metabolism,Amino acid metabolism
K04708,Metabolism,Lipid metabolism
K04709,Metabolism,Lipid metabolism
K05076,Environmental Information Processing,Signal transduction
K08967,Metabolism,Amino acid metabolism
K13357,NA,NA
K13356,Metabolism,Lipid metabolism
K13355,Cellular Processes,Transport and catabolism
K13354,Cellular Processes,Transport and catabolism
K03954,Metabolism,Energy metabolism
K03955,Metabolism,Energy metabolism
K03952,Metabolism,Energy metabolism
K03953,Metabolism,Energy metabolism
K13689,NA,NA
K13688,NA,NA
K14447,Metabolism,Overview
K13680,NA,NA
K13683,NA,NA
K13682,NA,NA
K13684,NA,NA
K02399,Cellular Processes,Cell motility
K02398,Cellular Processes,Cell motility
K02395,NA,NA
K02394,Cellular Processes,Cell motility
K02397,Cellular Processes,Cell motility
K02396,Cellular Processes,Cell motility
K02391,Cellular Processes,Cell motility
K02390,Cellular Processes,Cell motility
K02393,Cellular Processes,Cell motility
K02392,Cellular Processes,Cell motility
K09846,Metabolism,Metabolism of terpenoids and polyketides
K13533,Environmental Information Processing,Signal transduction
K13532,Environmental Information Processing,Signal transduction
K13531,NA,NA
K13530,NA,NA
K13537,Human Diseases,Infectious diseases
K13535,Metabolism,Lipid metabolism
K04705,Environmental Information Processing,Signal transduction
K04255,NA,NA
K05659,Environmental Information Processing,Membrane transport
K05658,Environmental Information Processing,Membrane transport
K05655,Environmental Information Processing,Membrane transport
K05654,Environmental Information Processing,Membrane transport
K05657,Environmental Information Processing,Membrane transport
K02600,NA,NA
K14057,NA,NA
K02606,Cellular Processes,Cell growth and death
K12330,Cellular Processes,Cell motility
K12331,Organismal Systems,Circulatory system
K05653,Environmental Information Processing,Membrane transport
K12338,Metabolism,Biosynthesis of other secondary metabolites
K12339,Metabolism,Overview
K14060,NA,NA
K11682,NA,NA
K11681,NA,NA
K11680,NA,NA
K11687,NA,NA
K11686,NA,NA
K11685,NA,NA
K11684,NA,NA
K11689,Environmental Information Processing,Signal transduction
K11688,Environmental Information Processing,Signal transduction
K13825,NA,NA
K08810,NA,NA
K03048,Metabolism,Nucleotide metabolism
K03049,Metabolism,Nucleotide metabolism
K13821,Metabolism,Amino acid metabolism
K13820,Cellular Processes,Cell motility
K13823,Human Diseases,Infectious diseases
K08811,NA,NA
K03042,Metabolism,Nucleotide metabolism
K03043,Metabolism,Nucleotide metabolism
K03040,Metabolism,Nucleotide metabolism
K03041,Metabolism,Nucleotide metabolism
K03046,Metabolism,Nucleotide metabolism
K08812,NA,NA
K03044,Metabolism,Nucleotide metabolism
K03045,Metabolism,Nucleotide metabolism
K06672,Cellular Processes,Cell growth and death
K06673,Cellular Processes,Cell growth and death
K06670,Cellular Processes,Cell growth and death
K06671,Cellular Processes,Cell growth and death
K06676,Cellular Processes,Cell growth and death
K06677,Cellular Processes,Cell growth and death
K06674,Cellular Processes,Cell growth and death
K00349,NA,NA
K06678,Cellular Processes,Cell growth and death
K06679,Cellular Processes,Cell growth and death
K08815,NA,NA
K12488,Cellular Processes,Transport and catabolism
K12489,Cellular Processes,Transport and catabolism
K12484,Cellular Processes,Transport and catabolism
K12485,Cellular Processes,Transport and catabolism
K12486,Cellular Processes,Transport and catabolism
K12487,Cellular Processes,Transport and catabolism
K12480,Cellular Processes,Transport and catabolism
K12481,Cellular Processes,Transport and catabolism
K12482,Cellular Processes,Transport and catabolism
K12483,Cellular Processes,Transport and catabolism
K11469,NA,NA
K11465,NA,NA
K00340,Metabolism,Energy metabolism
K00638,NA,NA
K00639,Metabolism,Amino acid metabolism
K00693,Metabolism,Carbohydrate metabolism
K00634,Metabolism,Carbohydrate metabolism
K00637,Metabolism,Lipid metabolism
K00631,Metabolism,Lipid metabolism
K00632,Metabolism,Overview
K00633,NA,NA
K00691,Metabolism,Carbohydrate metabolism
K06499,NA,NA
K00696,Metabolism,Carbohydrate metabolism
K06494,Environmental Information Processing,Signal transduction
K06495,Environmental Information Processing,Signaling molecules and interaction
K06491,Environmental Information Processing,Signaling molecules and interaction
K00346,NA,NA
K00695,Metabolism,Carbohydrate metabolism
K07811,Environmental Information Processing,Signal transduction
K07810,Environmental Information Processing,Signal transduction
K07813,Environmental Information Processing,Signal transduction
K07812,NA,NA
K07814,NA,NA
K07816,Metabolism,Nucleotide metabolism
K07819,Metabolism,Glycan biosynthesis and metabolism
K00090,Metabolism,Carbohydrate metabolism
K00091,NA,NA
K00094,Metabolism,Carbohydrate metabolism
K00096,Metabolism,Lipid metabolism
K00097,Metabolism,Metabolism of cofactors and vitamins
K00098,NA,NA
K00099,Metabolism,Metabolism of terpenoids and polyketides
K10228,Environmental Information Processing,Membrane transport
K10229,Environmental Information Processing,Membrane transport
K12548,NA,NA
K10222,Metabolism,Overview
K10220,Metabolism,Xenobiotics biodegradation and metabolism
K10227,Environmental Information Processing,Membrane transport
K05822,Metabolism,Overview
K01948,Metabolism,Overview
K01945,Metabolism,Nucleotide metabolism
K01947,Metabolism,Metabolism of cofactors and vitamins
K01941,Metabolism,Amino acid metabolism
K01940,Metabolism,Overview
K01942,Metabolism,Metabolism of cofactors and vitamins
K05821,Metabolism,Amino acid metabolism
K07729,NA,NA
K07728,NA,NA
K07727,NA,NA
K07726,NA,NA
K07724,NA,NA
K07723,NA,NA
K07722,NA,NA
K07721,NA,NA
K07720,Environmental Information Processing,Signal transduction
K00898,NA,NA
K00899,Metabolism,Amino acid metabolism
K05824,Metabolism,Overview
K00891,Metabolism,Overview
K00892,Metabolism,Nucleotide metabolism
K00893,Metabolism,Nucleotide metabolism
K00894,Metabolism,Lipid metabolism
K00895,Metabolism,Carbohydrate metabolism
K00897,NA,NA
K04392,Environmental Information Processing,Signal transduction
K13358,Organismal Systems,Excretory system
K08508,Genetic Information Processing,"Folding, sorting and degradation"
K10171,NA,NA
K15765,Metabolism,Overview
K14058,NA,NA
K07391,NA,NA
K14408,Genetic Information Processing,Translation
K14158,Organismal Systems,Digestive system
K14407,Genetic Information Processing,Translation
K10372,NA,NA
K01839,Metabolism,Carbohydrate metabolism
K08153,NA,NA
K01838,Metabolism,Carbohydrate metabolism
K14405,Genetic Information Processing,Translation
K08155,Organismal Systems,Nervous system
K14403,Genetic Information Processing,Translation
K02948,Genetic Information Processing,Translation
K05669,Environmental Information Processing,Membrane transport
K14400,Genetic Information Processing,Translation
K02940,Genetic Information Processing,Translation
K05661,Environmental Information Processing,Membrane transport
K02942,Genetic Information Processing,Translation
K05663,Environmental Information Processing,Membrane transport
K02944,Genetic Information Processing,Translation
K02945,Genetic Information Processing,Translation
K02946,Genetic Information Processing,Translation
K02947,Genetic Information Processing,Translation
K15529,NA,NA
K01769,Metabolism,Nucleotide metabolism
K09575,NA,NA
K09577,NA,NA
K09570,NA,NA
K09571,Organismal Systems,Endocrine system
K09572,NA,NA
K01761,Metabolism,Amino acid metabolism
K01760,Metabolism,Overview
K01763,Metabolism,Metabolism of other amino acids
K01762,Metabolism,Amino acid metabolism
K09578,Organismal Systems,Immune system
K01764,Metabolism,Metabolism of cofactors and vitamins
K01766,NA,NA
K08164,NA,NA
K02493,NA,NA
K08166,NA,NA
K02491,Environmental Information Processing,Signal transduction
K02496,Metabolism,Metabolism of cofactors and vitamins
K08161,NA,NA
K08162,NA,NA
K02495,Metabolism,Metabolism of cofactors and vitamins
K02498,NA,NA
K02499,NA,NA
K08168,NA,NA
K08169,NA,NA
K14415,NA,NA
K14414,NA,NA
K14145,Human Diseases,Infectious diseases
K14416,Genetic Information Processing,Translation
K14411,Genetic Information Processing,Translation
K14412,Metabolism,Glycan biosynthesis and metabolism
K06333,NA,NA
K00436,NA,NA
K06880,NA,NA
K06883,NA,NA
K12817,Genetic Information Processing,Transcription
K12815,Genetic Information Processing,Transcription
K06882,NA,NA
K12813,Genetic Information Processing,Transcription
K12812,Genetic Information Processing,Transcription
K12811,Genetic Information Processing,Transcription
K12810,Human Diseases,Infectious diseases
K06337,NA,NA
K09417,NA,NA
K09416,NA,NA
K09415,NA,NA
K12818,Genetic Information Processing,Transcription
K00437,NA,NA
K06887,NA,NA
K01484,Metabolism,Amino acid metabolism
K06334,NA,NA
K03547,NA,NA
K03546,NA,NA
K03545,NA,NA
K03544,Cellular Processes,Cell growth and death
K03543,NA,NA
K03540,Genetic Information Processing,Translation
K09859,NA,NA
K03549,NA,NA
K03548,NA,NA
K09858,NA,NA
K08862,Environmental Information Processing,Signal transduction
K02236,NA,NA
K02237,NA,NA
K02234,Metabolism,Metabolism of cofactors and vitamins
K02232,Metabolism,Metabolism of cofactors and vitamins
K02233,Metabolism,Metabolism of cofactors and vitamins
K02230,Metabolism,Metabolism of cofactors and vitamins
K02231,Metabolism,Metabolism of cofactors and vitamins
K02238,NA,NA
K02239,NA,NA
K08001,NA,NA
K08865,NA,NA
K03723,Genetic Information Processing,Replication and repair
K03722,NA,NA
K03721,NA,NA
K03720,NA,NA
K03727,NA,NA
K03726,NA,NA
K03725,NA,NA
K03724,NA,NA
K06412,NA,NA
K08867,NA,NA
